dataset,null,metric,role,n_controls,baseline,treatment_delta,control_delta_mean,control_delta_sd,z,frac_controls_improving,control_min,control_max,control_range,null_band_lo,null_band_hi,null_band_width,band_width_over_baseline,null_behaves,precision_acceptable,usable_as_outcome
pbmc3k,full,retrained_f1,headline gate,200,0.9242778046911788,-0.003151254330387987,-0.0003463465805245147,0.001870436758200006,-1.4996004208999527,0.465,0.9139345104108407,0.9295233778606254,0.015588867449784716,-0.0035859752788135746,0.0030218120783105044,0.006607787357124079,0.0071,True,True,True
pbmc3k,full,cluster_ari,pre-specified secondary outcome,200,0.5339805433588092,-0.0323488793782587,0.0485615323627629,0.08469846304962152,-0.9552760325015502,0.47,0.4039890102030909,0.725356758384568,0.3213677481814771,-0.049215529864058784,0.18052483590579585,0.22974036576985463,0.4302,True,False,False
pbmc3k,full,cluster_nmi,pre-specified secondary outcome,200,0.7051896915397552,-0.021155819854042912,0.0042528507568852115,0.023586098689900838,-1.0772731406320994,0.465,0.6330673351003383,0.7559018335915056,0.12283449849116734,-0.033454842998767706,0.04911335985700928,0.08256820285577698,0.1171,True,False,False
pbmc3k,no_ribo_mito,retrained_f1,headline gate,200,0.9242778046911788,-0.0012737048962616626,-0.002490101974887733,0.0021195418634374088,0.5738962271088877,0.08,0.9147496964716332,0.9289243850608898,0.014174688589256634,-0.007644941826377855,0.0010889085637579878,0.008733850390135842,0.0094,False,True,True
pbmc3k,no_ribo_mito,cluster_ari,pre-specified secondary outcome,200,0.5339805433588092,0.012326243820343419,0.0341166832465657,0.07417345994698785,-0.29377676923519574,0.405,0.4783239165856993,0.7098802762016101,0.2315563596159108,-0.04596737754687845,0.16474138858157655,0.21070876612845502,0.3946,True,False,False
pbmc3k,no_ribo_mito,cluster_nmi,pre-specified secondary outcome,200,0.7051896915397552,0.005084694858458749,0.0013941590511223267,0.019401047636133043,0.19022353207684864,0.405,0.6703110803876928,0.7528019161087267,0.08249083572103388,-0.028002049841504176,0.038966613977942474,0.06696866381944665,0.095,True,False,False
tabula_sapiens,full,retrained_f1,headline gate,100,0.6347886452386879,-0.007502593108579703,-0.00020511483703586353,0.00651557010168517,-1.1200061019459278,0.48,0.6198831507973563,0.6491353090589941,0.02925215826163774,-0.01220892129080987,0.011703784856954086,0.023912706147763956,0.0377,True,True,True
tabula_sapiens,full,cluster_ari,pre-specified secondary outcome,100,0.34573863805905825,0.005901502166047734,0.008749469553910021,0.020712845785916367,-0.1374976387744244,0.68,0.3057709976576992,0.40937703999738856,0.10360604233968934,-0.024131195820581746,0.054896431006731486,0.07902762682731324,0.2286,False,False,False
tabula_sapiens,full,cluster_nmi,pre-specified secondary outcome,100,0.5879212095116733,-0.0023403682105369583,-0.001817182829365741,0.006962092584905126,-0.07514771956718337,0.33,0.5699124927972331,0.6083823182781393,0.03846982548090616,-0.01620080464168102,0.011423772814003929,0.02762457745568495,0.047,False,True,True
