dataset,arm,control_idx,mean_tokens_removed
tabula_sapiens,full,0,21.28323551926512
tabula_sapiens,full,1,21.73156417453432
tabula_sapiens,full,2,20.92370502679255
tabula_sapiens,full,3,20.938249553457513
tabula_sapiens,full,4,21.118652717529983
tabula_sapiens,full,5,21.035978565960704
tabula_sapiens,full,6,21.264863485583057
tabula_sapiens,full,7,21.43327379433529
tabula_sapiens,full,8,21.339372288849198
tabula_sapiens,full,9,20.946159734626182
tabula_sapiens,full,10,21.583822403674407
tabula_sapiens,full,11,20.895126307731566
tabula_sapiens,full,12,21.288849196223527
tabula_sapiens,full,13,21.239091605001274
tabula_sapiens,full,14,21.119673386067873
tabula_sapiens,full,15,21.333503444756314
tabula_sapiens,full,16,21.505741260525646
tabula_sapiens,full,17,21.657310538402655
tabula_sapiens,full,18,21.503699923449858
tabula_sapiens,full,19,21.673386067874457
tabula_sapiens,full,20,21.142893595304926
tabula_sapiens,full,21,21.63460066343455
tabula_sapiens,full,22,21.235008930849705
tabula_sapiens,full,23,21.20643021178872
tabula_sapiens,full,24,21.8540443990814
tabula_sapiens,full,25,21.33146210768053
tabula_sapiens,full,26,21.150293442204646
tabula_sapiens,full,27,21.785914774177087
tabula_sapiens,full,28,21.279408012248023
tabula_sapiens,full,29,21.611635621331974
tabula_sapiens,full,30,21.431997958662926
tabula_sapiens,full,31,21.438632304159224
tabula_sapiens,full,32,20.99693799438632
tabula_sapiens,full,33,21.72569533044144
tabula_sapiens,full,34,21.659096708343966
tabula_sapiens,full,35,21.10512885940291
tabula_sapiens,full,36,21.689716764480735
tabula_sapiens,full,37,21.268180658331207
tabula_sapiens,full,38,21.235008930849705
tabula_sapiens,full,39,21.25848430722123
tabula_sapiens,full,40,21.359275325338096
tabula_sapiens,full,41,21.36539933656545
tabula_sapiens,full,42,20.90227098749681
tabula_sapiens,full,43,21.480990048481754
tabula_sapiens,full,44,21.596580760398062
tabula_sapiens,full,45,21.393212554223016
tabula_sapiens,full,46,21.273794335289615
tabula_sapiens,full,47,21.584332737943352
tabula_sapiens,full,48,21.61061495279408
tabula_sapiens,full,49,21.220209237050266
tabula_sapiens,full,50,21.250063791783617
tabula_sapiens,full,51,21.397550395509057
tabula_sapiens,full,52,21.123245725950497
tabula_sapiens,full,53,21.516713447307986
tabula_sapiens,full,54,21.32559326358765
tabula_sapiens,full,55,21.42000510334269
tabula_sapiens,full,56,20.853278897677978
tabula_sapiens,full,57,21.083184485838224
tabula_sapiens,full,58,21.503444756315385
tabula_sapiens,full,59,21.465935187547842
tabula_sapiens,full,60,21.509823934677215
tabula_sapiens,full,61,21.167899974483287
tabula_sapiens,full,62,21.31079356978821
tabula_sapiens,full,63,21.881347282470017
tabula_sapiens,full,64,21.48634855830569
tabula_sapiens,full,65,21.50701709619801
tabula_sapiens,full,66,20.935697882112784
tabula_sapiens,full,67,20.979841796376625
tabula_sapiens,full,68,20.951518244450114
tabula_sapiens,full,69,21.597091094667007
tabula_sapiens,full,70,21.09543250829293
tabula_sapiens,full,71,21.462107680530746
tabula_sapiens,full,72,21.281194182189335
tabula_sapiens,full,73,21.49272773666752
tabula_sapiens,full,74,21.124521561622863
tabula_sapiens,full,75,21.43761163562133
tabula_sapiens,full,76,21.221485072722633
tabula_sapiens,full,77,21.202857871906097
tabula_sapiens,full,78,21.700433784128606
tabula_sapiens,full,79,21.18397550395509
tabula_sapiens,full,80,21.199030364889
tabula_sapiens,full,81,21.523347792804287
tabula_sapiens,full,82,21.466955856085736
tabula_sapiens,full,83,21.034702730288338
tabula_sapiens,full,84,21.292166368971678
tabula_sapiens,full,85,21.39346772135749
tabula_sapiens,full,86,21.630007655014033
tabula_sapiens,full,87,21.081653483031385
tabula_sapiens,full,88,21.51773411584588
tabula_sapiens,full,89,21.6180147996938
tabula_sapiens,full,90,20.98188313345241
tabula_sapiens,full,91,21.27430466955856
tabula_sapiens,full,92,20.882878285276856
tabula_sapiens,full,93,21.1857616738964
tabula_sapiens,full,94,21.433018627200816
tabula_sapiens,full,95,21.707833631028322
tabula_sapiens,full,96,21.59913243174279
tabula_sapiens,full,97,21.212554223016074
tabula_sapiens,full,98,20.642255677468743
tabula_sapiens,full,99,21.324317427915286
tabula_sapiens,no_ribo_mito,0,9.723653993365655
tabula_sapiens,no_ribo_mito,1,9.772390916050012
tabula_sapiens,no_ribo_mito,2,9.535595815258995
tabula_sapiens,no_ribo_mito,3,9.42255677468742
tabula_sapiens,no_ribo_mito,4,9.735391681551416
tabula_sapiens,no_ribo_mito,5,9.197499362082164
tabula_sapiens,no_ribo_mito,6,9.307731564174535
tabula_sapiens,no_ribo_mito,7,9.28757336055116
tabula_sapiens,no_ribo_mito,8,9.16892064302118
tabula_sapiens,no_ribo_mito,9,9.76626690482266
tabula_sapiens,no_ribo_mito,10,9.498341413625925
tabula_sapiens,no_ribo_mito,11,9.13498341413626
tabula_sapiens,no_ribo_mito,12,9.700433784128604
tabula_sapiens,no_ribo_mito,13,9.505996427660117
tabula_sapiens,no_ribo_mito,14,9.669303393722888
tabula_sapiens,no_ribo_mito,15,9.760653227864251
tabula_sapiens,no_ribo_mito,16,9.441949476907375
tabula_sapiens,no_ribo_mito,17,10.030364889002296
tabula_sapiens,no_ribo_mito,18,9.954069915794845
