variable,treatment_mean,treatment_sd,control_mean,control_sd,smd
expr_mean,57.820702793054,143.5715502104806,23.922924141875022,52.93522675699684,0.3132851587389209
expr_breadth,0.286956706642851,0.39155719380007614,0.2748557596892631,0.37224866643043686,0.03167580376868974
gene_length,731486.9166666666,815320.1740823531,624207.2497222222,649131.829114186,0.1455773083671452
pct_constrained,0.5277777777777778,0.0,0.5277777777777778,0.0,0.0
pct_disease,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0
pct_other,0.25,0.0,0.25,0.0,0.0
