model_a,model_b,n_shared_vocabulary,n_outliers_a,n_outliers_b,observed_overlap,expected_overlap,fold_enrichment,jaccard,spearman_rho,spearman_p,hypergeometric_p,n_scored_both
Geneformer,scGPT,18915,388,102,72,2.0923076923076924,34.41176470588235,0.1722488038277512,0.18631329417651749,2.5002280628395725e-147,1.0579175768962747e-99,18915
Geneformer,scFoundation,18915,388,161,8,3.3025641025641024,2.4223602484472053,0.014787430683918669,0.025883832613168862,0.00037055603000548114,0.01820119611247832,18915
scGPT,scFoundation,18915,102,161,1,0.8681998413957177,1.1518085495067591,0.003816793893129771,0.006643678738021414,0.36089190742774135,0.5828302998661253,18915
