hgnc_id,approved_symbol,ensembl_gene_id,source_group_ids
HGNC:10362,RPL6,ENSG00000089009,729
HGNC:10363,RPL7,ENSG00000147604,729
HGNC:10364,RPL7A,ENSG00000148303,729
HGNC:21370,RPL7L1,ENSG00000146223,729
HGNC:10368,RPL8,ENSG00000161016,729
HGNC:10369,RPL9,ENSG00000163682,729
HGNC:10371,RPLP0,ENSG00000089157,729
HGNC:10372,RPLP1,ENSG00000137818,729
HGNC:10377,RPLP2,ENSG00000177600,729
HGNC:10383,RPS10,ENSG00000124614,728
HGNC:10384,RPS11,ENSG00000142534,728
HGNC:10385,RPS12,ENSG00000112306,728
HGNC:10386,RPS13,ENSG00000110700,728
HGNC:10387,RPS14,ENSG00000164587,728
HGNC:10388,RPS15,ENSG00000115268,728
HGNC:10389,RPS15A,ENSG00000134419,728
HGNC:10396,RPS16,ENSG00000105193,728
HGNC:10397,RPS17,ENSG00000182774,728
HGNC:10401,RPS18,ENSG00000231500,728
HGNC:10402,RPS19,ENSG00000105372,728
HGNC:10404,RPS2,ENSG00000140988,728
HGNC:10405,RPS20,ENSG00000008988,728
HGNC:10409,RPS21,ENSG00000171858,728
HGNC:10410,RPS23,ENSG00000186468,728
HGNC:10411,RPS24,ENSG00000138326,728
HGNC:10413,RPS25,ENSG00000118181,728
HGNC:10414,RPS26,ENSG00000197728,728
HGNC:10416,RPS27,ENSG00000177954,728
HGNC:10417,RPS27A,ENSG00000143947,728
HGNC:18476,RPS27L,ENSG00000185088,728
HGNC:10418,RPS28,ENSG00000233927,728
HGNC:10419,RPS29,ENSG00000213741,728
HGNC:10420,RPS3,ENSG00000149273,728
HGNC:10421,RPS3A,ENSG00000145425,728
HGNC:10424,RPS4X,ENSG00000198034,728
HGNC:10425,RPS4Y1,ENSG00000129824,728
HGNC:18501,RPS4Y2,ENSG00000280969,728
HGNC:10426,RPS5,ENSG00000083845,728
HGNC:10429,RPS6,ENSG00000137154,728
HGNC:10440,RPS7,ENSG00000171863,728
HGNC:10441,RPS8,ENSG00000142937,728
HGNC:10442,RPS9,ENSG00000170889,728
HGNC:6502,RPSA,ENSG00000168028,728
HGNC:12458,UBA52,ENSG00000221983,729
