gene,token_id,norm,dist_from_centroid,cos_to_centroid,norm_zscore,dist_zscore,cos_zscore,is_outlier,pca_1,pca_2,isolation_score,isolation_zscore,anomaly_score
FSCB,5890,26.571405,26.575089,-0.010073377,-1.6361766,-1.6293048,-0.5404567,False,0.1454742,1.6294289,0.8736092,0.1900504,1.6361766
FSCN1,5891,27.094496,27.08781,0.031385675,-0.87267745,-0.8808732,0.63418335,False,0.8846007,-1.7428209,0.8772378,1.0786064,1.0786064
FSCN2,5892,27.573065,27.571127,0.012290036,-0.17416133,-0.17536555,0.09315548,False,-0.84319603,0.62496036,0.8704233,-0.5900889,0.5900889
FSCN3,5893,27.675552,27.673733,0.0118012875,-0.024571171,-0.025589572,0.07930799,False,0.1822964,0.88115346,0.87469566,0.45610052,0.45610052
FSD1,5894,27.523046,27.528414,-0.016975503,-0.24716772,-0.2377149,-0.7360115,False,0.53554153,0.62657255,0.87432843,0.36617652,0.7360115
FSD1L,5895,28.043184,28.033482,0.04332742,0.5120219,0.49954373,0.9725233,False,-0.52911353,0.84566176,0.87407285,0.3035902,0.9725233
FSD2,5896,27.164793,27.170492,-0.018242642,-0.7700721,-0.76018095,-0.77191275,False,-0.23745373,0.7818986,0.8748609,0.49655974,0.77191275
FSHB,5897,27.369047,27.369041,0.004576834,-0.4719441,-0.4703542,-0.12537912,False,0.30569533,-0.93537533,0.877652,1.1800318,1.1800318
FSHR,5898,26.919956,26.910519,0.042458195,-1.1274343,-1.13967,0.94789594,False,-3.432659,0.67668027,0.8722337,-0.14677419,1.13967
FSIP1,5899,27.212141,27.194834,0.07392387,-0.70096326,-0.724649,1.8393983,False,-0.14416921,0.08944098,0.8749777,0.5251673,1.8393983
FSIP2,5900,27.632187,27.633503,-0.0007577488,-0.08786713,-0.08431389,-0.27652138,False,0.17154793,-0.21286719,0.8629044,-2.431276,2.431276
FST,5901,26.950151,26.955673,-0.01749856,-1.0833615,-1.0737569,-0.75083107,False,-1.634749,1.3755378,0.86176527,-2.7102287,2.7102287
FSTL1,5902,27.814306,27.817945,-0.010104275,0.17795308,0.18492092,-0.5413322,False,-0.5041845,1.3202531,0.8721,-0.1795123,0.5413322
FSTL3,5903,28.470047,28.456911,0.05701569,1.1350678,1.1176331,1.3603467,False,0.66773736,-0.7633493,0.86754644,-1.2945641,1.3603467
FSTL4,5904,28.05126,28.052162,0.00082603516,0.52380913,0.5268122,-0.23164874,False,-2.8158305,-0.029267373,0.86986935,-0.72574115,0.72574115
FSTL5,5905,27.696657,27.693811,0.015919304,0.006233271,0.0037196896,0.19598183,False,1.5998427,1.069989,0.8666458,-1.5151049,1.5151049
FTCD,5906,26.932291,26.924847,0.034463692,-1.1094304,-1.1187551,0.7213914,False,1.2379315,0.07813566,0.8703111,-0.61757255,1.1187551
FTCDNL1,5907,27.543123,27.531277,0.051998835,-0.21786383,-0.23353581,1.2182064,False,2.2019215,0.03008237,0.8707615,-0.50727296,1.2182064
FTH1,5908,27.031273,27.030289,0.008562315,-0.9649572,-0.96483904,-0.012460316,False,0.42010894,-0.36757228,0.8771033,1.0456786,1.0456786
FTHL17,5909,26.512045,26.508125,0.020415021,-1.7228189,-1.7270525,0.3233569,False,-0.67329276,-2.8019485,0.8695077,-0.8143078,1.7270525
FTL,5910,27.02953,27.039156,-0.033966955,-0.9675017,-0.9518953,-1.2174225,False,2.6354153,2.2102659,0.86688995,-1.4553211,1.4553211
FTMT,5911,27.318525,27.313997,0.022709144,-0.54568547,-0.5507034,0.38835523,False,0.5267684,-0.81094635,0.8695801,-0.79657406,0.79657406
FTO,5912,27.226614,27.230549,-0.0111839855,-0.6798386,-0.67251486,-0.5719231,False,-0.14015184,-1.9563496,0.866696,-1.5028154,1.5028154
